head	relation	tail
MAGI2-AS3	expression association	LRIG1
CDKN2B-AS1	interact with protein	SUZ12
H19	ceRNA or sponge	miR-107
CASC9	epigenetic regulation	PDCD4
TUG1	interact with protein	NFE2L2
miR-135a	transcriptional regulation	TONSL-AS1
AFAP1-AS1	expression association	ROCK1
MCM3AP-AS1	ceRNA or sponge	SENP1
LEF1-AS1	interact with protein	LATS1
NIFK-AS1	ceRNA or sponge	miR-146a
CRNDE	epigenetic regulation	DUSP5
TUG1	ceRNA or sponge	NFKB1
H19	ceRNA or sponge	miR-29a-3p
HULC	expression association	TP53
AFAP1-AS1	expression association	RAB1B
UPF1	interact with mRNA	Linc-00313
MHRT	ceRNA or sponge	KLF4
Moshe	expression association	ISL1
NEAT1	expression association	CTNNB1
IRAIN	epigenetic regulation	KLF2
LNC-LBCS	epigenetic regulation	SOX2
LOXL1-AS1	expression association	AKT1
H19	expression association	CXCL10
PCED1B-AS1	ceRNA or sponge	ZEB1
POU2F1	expression association	DLX6-AS1
PART1	ceRNA or sponge	TGFBR2
COMETT	expression association	CCND1
TTN-AS1	ceRNA or sponge	Cyclin E1
miR-34a	ceRNA or sponge	HOTAIR
HOTAIRM1	ceRNA or sponge	TDG
H19	ceRNA or sponge	ATG7
CRNDE	expression association	CCND1
MEG3	expression association	BMI1
SNHG14	ceRNA or sponge	ZEB1
MVIH	ceRNA or sponge	MIR302A
TMEM238L	expression association	BAX
CASC11	expression association	miR-188-5p
TTN-AS1	ceRNA or sponge	CDK5
TOB1-AS1	ceRNA or sponge	DYNC2LI1
LINC00313	transcriptional regulation	SOX2
LINC00525	expression association	miR-338-3p
GATA3-AS1	expression association	CDKN1A
CPS1-IT1	ceRNA or sponge	CCN1
LINC01303	ceRNA or sponge	EZH2
E2F1	transcriptional regulation	AP002754.2
XIC	ceRNA or sponge	MMP13
LINC01929	ceRNA or sponge	FOXC1
lncRNA-PAICC	ceRNA or sponge	miR-27a-3p
H19	ceRNA or sponge	HRAS
MALAT1	expression association	desmin
LUCAT1	expression association	miR-199a-5p
FBXL19-AS1	ceRNA or sponge	miR-203a-3p
RNA00887	ceRNA or sponge	miR-613
MIR365A	expression association	LINC01554
FALEC	interact with protein	AKT1
MIR503HG	expression association	SNAI1
SOX2-OT	ceRNA or sponge	MCL-1 isoform 2
MIAT	ceRNA or sponge	LOXL2
CTBP1-DT	ceRNA or sponge	PTEN
LINC00460	ceRNA or sponge	SPHK1
HOTAIR	ceRNA or sponge	HK2
LINC02381	ceRNA or sponge	MIR590
LOC730100	ceRNA or sponge	FOXA1
DLEU2	ceRNA or sponge	NOTCH2
CCAT1-L	expression association	T-ERK
LINC00261	expression association	NOTCH1
LINC00261	ceRNA or sponge	FOXO3
LINC-ROR	ceRNA or sponge	miR-124
CDKN2B-AS1	expression association	miR-203a
MEG3	ceRNA or sponge	HDAC9
UCA1	ceRNA or sponge	CCR7
HOTTIP	expression association	CCNB1
TUG1	ceRNA or sponge	miR-9-5p
XIST	expression association	XIAP
LINC01554	expression association	G3BP2
H19	expression association	TGFBI
ZBTB40-IT1	interact with protein	TNFSF11
HOXA11-AS	interact with protein	STAU1
SP1	transcriptional regulation	LINC00511
FOXM1	expression association	FRGCA
HOTTIP	ceRNA or sponge	TGFBR2
SNHG17	ceRNA or sponge	SP1
RAB4B-EGLN2	expression association	EGLN2
UCA1	interact with protein	MIR122
TUG1	epigenetic regulation	LIMK2
EPEL	expression association	RUNX2
LINC01116	expression association	CDKN1C
LINC-ROR	transcriptional regulation	ZEB1
RP11-468E2.5	expression association	CDKN1A
HOTAIR	expression association	COL1A1
MEG3	interact with protein	JARID2
XIST	expression association	PDCD4
HOTAIR	expression association	WIF1
POU6F2-AS2	interact with protein	YBX1
HULC	expression association	N-cadherin
FEZF1-AS1	interact with protein	KDM1A
ERLNC1	expression association	CDK6
PVT1	expression association	SMAD4
DANCR	interact with protein	ILF2
HOTTIP	ceRNA or sponge	miR-4301
CCEPR	expression association	MYC
PVT1	ceRNA or sponge	HK2
CCAT2	expression association	MIR145
MIR100HG	ceRNA or sponge	SNCAIP
SNHG1	expression association	BAX
TGLC15	expression association	SOX4
HAGLR	ceRNA or sponge	miR-217
HAGLR	ceRNA or sponge	ZEB1
MIR22HG	transcriptional regulation	STAT3
HAGLROS	expression association	CPT11
BIRC7	expression association	LNCRNA-ATB
HOXA11-AS	ceRNA or sponge	miR-124
LINC0086	ceRNA or sponge	miR-214
CCDC26	expression association	IGF1R
BLACAT1	expression association	Wnt/beta-catenin
STAT3	expression association	HOTAIR
HOXA11-AS	expression association	TWIST1
INHBA	ceRNA or sponge	MCL1
NEAT1	ceRNA or sponge	CPT1A
DGCR5	ceRNA or sponge	miR-195
CCAT1	interact with protein	EZH2
SSATX	expression association	TCF
H19	transcriptional regulation	miR-6515-3p
XIST	ceRNA or sponge	NOTCH1
LncHDAC2	interact with protein	HDAC2
H19	ceRNA or sponge	PPARG
XIST	ceRNA or sponge	MDR1
SNHG14	ceRNA or sponge	SKIL
lncRNA 430945	expression association	RORA
CRNDE	ceRNA or sponge	miR-451a
LINC00612	ceRNA or sponge	SOX4
ILF3-DT	ceRNA or sponge	PTBP3
CCL18	expression association	UCA1
TP73-AS1	ceRNA or sponge	AKT3
PANTR1	epigenetic regulation	POU3F3
HCG18	ceRNA or sponge	PPP2R2A
MEG3	expression association	NOTCH1
TP53COR1	ceRNA or sponge	miR-9
SCARNA2	ceRNA or sponge	EGFR
SUMO1P3	expression association	WNT1
HAGLR	ceRNA or sponge	MECP2
FAM225A	ceRNA or sponge	miR-590-3p
UCA1	ceRNA or sponge	KRAS
H19	expression association	BCL2
UCA1	expression association	TERT
FALEC	epigenetic regulation	CDKN1A
MALAT1	expression association	CCL5
MALAT1	expression association	ADAMTS1
HNF1A	transcriptional regulation	NR_023387
CRNDE	ceRNA or sponge	CDK6
LINC01554	epigenetic regulation	PKM
YY1	transcriptional regulation	lnc-FANCI-2
NEAT1	interact with protein	EZH2
SNHG16	ceRNA or sponge	CCND1
RMRP	ceRNA or sponge	ANXA2
HOTTIP	ceRNA or sponge	miR-128-3p
GABPB1-AS1	ceRNA or sponge	NOTCH2
H19	interact with protein	PRC2
CERS6-AS1	ceRNA or sponge	FGFR1
LNCARSR	ceRNA or sponge	MET
THRIL	expression association	MMP13
GAS8-AS1	ceRNA or sponge	CCNG2
CASC2	expression association	CDK1
H19	ceRNA or sponge	DSG1
LINC01287	expression association	MYC
CASC21	ceRNA or sponge	YAP1
GACAT3	expression association	miR-497
SPRY4-IT1	expression association	CDC20
LINC00958	interact with protein	WDR5
METTL14	transcriptional regulation	HCG11
SNHG14	ceRNA or sponge	DHX33
HAND2-AS1	expression association	Caspase3
PCAT18	ceRNA or sponge	CLDN11
MIF-AS1	ceRNA or sponge	HOXB8
NRON	expression association	NFATC3
DANCR	expression association	MMP9
miR-19a	ceRNA or sponge	NBR2
SNHG1	transcriptional regulation	miR-448
UCC	ceRNA or sponge	miR-143
GAS5	expression association	ABCA1
HOTAIR	epigenetic regulation	AJAP1
LERFS	interact with protein	SYNCRIP
A1BG-AS1	ceRNA or sponge	SMAD7
LINC-ROR	expression association	POU5F1
MEG3	expression association	NFKB1
LOXL1-AS1	ceRNA or sponge	RHOXF2
SNHG6	expression association	UPF1
HNF1A-AS1	ceRNA or sponge	BCL2
LINC00312	expression association	YBX1
HNF4A-AS1	interact with protein	CTCF
E2F1	transcriptional regulation	MNX1-AS1
LINC00460	expression association	STC2
CERNA2	expression association	BCL2
VPS9D1-AS1	ceRNA or sponge	MEF2D
MYC	transcriptional regulation	MINCR
MEG3	ceRNA or sponge	SLC34A2
CREBBP	transcriptional regulation	HOTAIR
LINC00511	expression association	BAX
lncRNA-ENST00000411554	expression association	MAPK1
DLEU1	expression association	RANBP2
ASB16-AS1	ceRNA or sponge	WNT2
MROCKI	ceRNA or sponge	SOS1
NEAT1	ceRNA or sponge	SOX4
MVIH	expression association	MMP9
LINC00473	ceRNA or sponge	miR-497
SNHG15	ceRNA or sponge	miR-141
MEG3	expression association	SMAD7
FOXD3-AS1	expression association	MMP9
AV310809	expression association	CTNNB1
MEG3	epigenetic regulation	EZH2
EP300	transcriptional regulation	HOTAIR
EMSLR	ceRNA or sponge	WTAP
SUV39H1	ceRNA or sponge	BCL2
METTL3	expression association	Caspase3
NEAT1	expression association	p-Akt
SNHG14	ceRNA or sponge	miR-613
GAS8-AS1	interact with protein	WDR5
DLEU1	ceRNA or sponge	PRPS1
FLVCR1-DT	ceRNA or sponge	miR-458-5p
LINC01133	expression association	MMP7
FOXD2-AS1	ceRNA or sponge	miR-195
SLC26A4-AS1	expression association	Vimentin
CDKN2B-AS1	expression association	RELA
TUG1	expression association	BCL2
LINC01619	ceRNA or sponge	FOXO1
LINC00518	ceRNA or sponge	miR-216b-5p
LINC00511	expression association	LATS2
FALEC	expression association	DRP1
ZFAS1	ceRNA or sponge	NOB1
MALAT1	ceRNA or sponge	miR-216b
LINC00339	ceRNA or sponge	SRY-box9
PCAT6	expression association	PTEN
HOTAIRM1	ceRNA or sponge	miR-106b
MEG3	expression association	IL-1Â¦Ã
HAGLROS	expression association	PPARG
LNCSRLR	expression association	IL6
UNC5B-AS1	expression association	NDRG2
UCA1	expression association	BCL2
MIAT	ceRNA or sponge	TGFBR1
RMRP	ceRNA or sponge	TACR1
BDNF-AS	expression association	RAX2
MIAT	ceRNA or sponge	CD47
SNHG15	expression association	miR-211-3p
LINC00488	ceRNA or sponge	TLN1
ZNF407-AS1	ceRNA or sponge	MUC1-C
MIR31HG	epigenetic regulation	miR-31
XIST	ceRNA or sponge	CCND1
DICER1-AS1	ceRNA or sponge	ATG5
MALAT1	expression association	Clecaspase-3
HNRNPKP2	expression association	CXCR4
MALAT1	expression association	AGR2
H19	ceRNA or sponge	ZEB1
DNM3OS	expression association	SNAI1
MALAT1	ceRNA or sponge	ATG12
miR-29b-3p	expression association	MEG3
HULC	ceRNA or sponge	ACSL1
TOB1-AS1	ceRNA or sponge	miR-27b-3p
DANCR	ceRNA or sponge	ERBB2
HOTAIR	epigenetic regulation	NUSAP1
CASC15	expression association	CDH2
MEG3	epigenetic regulation	miR-429
HOXA11-AS	interact with protein	DNMT1
SAMD12-AS1	interact with protein	DNMT1
SNHG1	ceRNA or sponge	TLR4
PANTR1	expression association	CCND1
LINC00668	ceRNA or sponge	USP47
MALAT1	ceRNA or sponge	POSTN
CDKN2B-AS1	ceRNA or sponge	FRS2
WDFY3-AS2	ceRNA or sponge	PTEN
FOXD2-AS1	expression association	p-p65
ATB	ceRNA or sponge	miR-126
METTL3	expression association	Caspase9
LINC00461	expression association	miR-30a-5p
H19	expression association	miR-675
LINC01111	ceRNA or sponge	DUSP1
DLGAP1-AS1	ceRNA or sponge	ROCK1
MYC	transcriptional regulation	LINC00176
MALAT1	ceRNA or sponge	miR-145
KCNQ1OT1	ceRNA or sponge	MFAP2
GACAT3	expression association	BAX
MALAT1	ceRNA or sponge	miR-203a-3p
STAT3	interact with protein	CASC11
UCA1	interact with protein	TP53
SYNE3	expression association	HMGB2
ZEB1-AS1	expression association	CDH1
H19	expression association	COX2
CASC2	expression association	ZEB1
CA3-AS1	ceRNA or sponge	PTEN
MAGI2-AS3	ceRNA or sponge	ZEB1
DBH-AS1	expression association	CDK6
FLVCR1-DT	ceRNA or sponge	MET
RELA	transcriptional regulation	PICSAR
HOTAIR	ceRNA or sponge	MTOR
MALAT1	expression association	ZEB2
LUCAT1	ceRNA or sponge	ULK1
miR-375-3p	expression association	CCAT1
GAS5	expression association	DDIT3
DQ786243	ceRNA or sponge	WNT3A
LINC01189	ceRNA or sponge	miR-155-5p
TFAP2A-AS1	ceRNA or sponge	NISCH
MALAT1	transcriptional regulation	EPAS1
MALAT1	ceRNA or sponge	miR-127-5p
PCAT1	ceRNA or sponge	miR-124-3p
PEBP1P2	expression association	CDK9
Lnc-BM	expression association	STAT3
XIST	ceRNA or sponge	MRP1
PCAT6	ceRNA or sponge	TGFBR2
LINC00520	ceRNA or sponge	HSPB1
PCGEM1	expression association	AR
HCG18	ceRNA or sponge	NOTCH1
LINC00707	ceRNA or sponge	miR-223-5p
AK094457	expression association	NOS3
SNHG14	expression association	DGCR8
MX1	interact with protein	CD274
lncRNA1403	expression association	THBD
TUG1	ceRNA or sponge	miR-29c
LINC01503	transcriptional regulation	Cyclin D1
SNHG12	ceRNA or sponge	E2F7
HCP5	ceRNA or sponge	miR-29b-3p
MIR22HG	ceRNA or sponge	HMGB1
PVT1-214	ceRNA or sponge	LIN28A
p50	interact with protein	MALAT1
AATBC	expression association	CDKN2C
LINC01133	interact with protein	YBX1
HOTAIR	expression association	BRCA1
LINC02465	expression association	PIK3CA
MEG3	expression association	HSPA5
BHLHE40	transcriptional regulation	LINC00458
LINC00261	ceRNA or sponge	miR-324-3p
GATA3-AS1	expression association	PTEN
CDKN2B-AS1	expression association	CDH1
OIP5-AS1	ceRNA or sponge	SOX4
SNHG3	ceRNA or sponge	HDGF
PRR34-AS1	ceRNA or sponge	E2F2
MALAT1	expression association	miR-146a
ANKRD40CL	ceRNA or sponge	FMNL2
MALAT1	ceRNA or sponge	SLAIN2
NEAT1	ceRNA or sponge	YY1
SNHG15	expression association	CTNNB1
EPIST	ceRNA or sponge	DUSP1
CASC2	expression association	EIF2AK3
MIR205HG	ceRNA or sponge	SOX4
SNHG6	ceRNA or sponge	MIR4465
LINC00665	ceRNA or sponge	ATF1
GAS1RR	transcriptional regulation	GAS1
PCNAP1	ceRNA or sponge	SOX4
H19	ceRNA or sponge	FADD
PTCSC3	expression association	H19
MALAT1	ceRNA or sponge	SOCS1
UCA1	ceRNA or sponge	GLS2
LINC00174	ceRNA or sponge	TAZ
ZEB1-AS1	expression association	VIM
LBX2-AS1	expression association	NOTCH1
PWRN1	expression association	miR-21-5p
H19	ceRNA or sponge	BCL2L11
CRNDE	expression association	miR-181a-5p
EGFR-AS1	interact with protein	EGFR
MIR29B2CHG	expression association	miR-29c
USF1	transcriptional regulation	ZFAS1
LINC-ROR	epigenetic regulation	TESC
HOTAIR	expression association	ABCB4
GDF15	expression association	LINC01133
GAS8-AS1	expression association	ATG5
MEG3	expression association	miR-770-5p
TINCR	ceRNA or sponge	ERBB2
UCA1	transcriptional regulation	miR-200c
PLACT1	transcriptional regulation	IkBalpha
IGFL2-AS1	ceRNA or sponge	BPY2C
FILNC1	expression association	MYC
CYCSP5	ceRNA or sponge	IGF1
TINCR	ceRNA or sponge	miR-21
SNHG16	ceRNA or sponge	Foxa3a
SNHG14	ceRNA or sponge	KLF7
CRNDE	ceRNA or sponge	CCL18
KCNQ1OT1	ceRNA or sponge	NLRP3
EZR-AS1	expression association	SMAD2
MALAT1	expression association	TJP1
SIRT1-AS	interact with mRNA	SIRT1
HOTAIR	expression association	miR-545
TRERNA1	ceRNA or sponge	NRAS
TG2-lncRNA	transcriptional regulation	TP53
PTENP1	ceRNA or sponge	PHLPP1
EZR-AS1	expression association	TGFB1
LINC00161	ceRNA or sponge	MAPK1
SNHG5	ceRNA or sponge	CCN2
XIST	expression association	miR-129-5p
HOTAIR	expression association	CASP9
SUMO1P4	interact with mRNA	MYC
H19	expression association	MYC
SNHG12	ceRNA or sponge	BCL9
SNHG1	expression association	HES1
UPF1	interact with protein	MALAT1
SENEBLOC	ceRNA or sponge	HDAC5
SLC2A1-DT	ceRNA or sponge	miR-508-5p
MIAT	ceRNA or sponge	GPRC5A
TUG1	ceRNA or sponge	miR-219a-5p
DLEU2	ceRNA or sponge	PIK3CD
GAS8-AS1	epigenetic regulation	GAS8
NORAD	expression association	K6
SNHG1	ceRNA or sponge	XIAP
DLEU2	ceRNA or sponge	SMAD2
RP5-916L7.2	ceRNA or sponge	MIR328
NEAT1	ceRNA or sponge	PNPLA2
LINC00641	ceRNA or sponge	NOTCH1
OGFRP1	ceRNA or sponge	SIRT1
CXCL8	expression association	MALAT1
NORAD	ceRNA or sponge	ADAM19
CTNNB1	transcriptional regulation	HOTAIR
E2F6	transcriptional regulation	LINC01436
LINC01116	ceRNA or sponge	miR-21
PRNCR1	ceRNA or sponge	HEY2
lncRNA SRA	ceRNA or sponge	MIR146B
HAND2-AS1	expression association	HAND2
SNHG6	expression association	MMP2
AFAP1-AS1	expression association	ARHGDIA
BANCR	interact with protein	EZH2
LINC00473	transcriptional regulation	IL24
MEG3	expression association	CDH2
MIAT	ceRNA or sponge	CCND1
SNHG3	ceRNA or sponge	MYB
LINC00052	ceRNA or sponge	SOX9
lncGALM	ceRNA or sponge	ZEB1
OIP5-AS1	ceRNA or sponge	C1QTNF3
GAS5	expression association	SNAI1
LINC00459	ceRNA or sponge	DKK3
MEG3	expression association	MANF
MEG3	expression association	ILF3
CASC9	epigenetic regulation	BMI1
NKILA	expression association	VEGFA
UICLM	ceRNA or sponge	ZEB2
NEAT1	expression association	PROM1
HOTAIR	epigenetic regulation	PTEN
RPSAP52	ceRNA or sponge	MIR15B
TGFB1	expression association	LINC00115
MEG3	ceRNA or sponge	miR-148a
DUXAP9	expression association	MUC1
AFAP1-AS1	ceRNA or sponge	IGF1R
SNHG16	ceRNA or sponge	FGF19
LINC01503	expression association	FOSL1
LOC401317	expression association	PARP1
HOTAIR	expression association	PIK3R2
TP73-AS1	ceRNA or sponge	ZEB1
GAS5	expression association	LC3II
AP002754.2	expression association	RAPSN
lnc-MMP2-2	expression association	MMP2
MALAT1	expression association	MAPK3
LINC00667	ceRNA or sponge	SLC2A3
HULC	ceRNA or sponge	MIR133B
NMRAL2P	epigenetic regulation	ACOT7
NEAT1	ceRNA or sponge	FRS2
FER1L4	expression association	miR-106a-5p
KLF5	transcriptional regulation	IGFL2-AS1
MEG3	expression association	CASP9
MALAT1	ceRNA or sponge	CDK9
CASC2	expression association	MAPK3
CCAT1	ceRNA or sponge	MAPK1
GAS5	expression association	E2F1
MNX1-AS1	interact with protein	MAPK1
LINC02381	expression association	CCND1
PVT1	ceRNA or sponge	MDM2
CASC2	expression association	CDH1
LINC01510	ceRNA or sponge	CDK14
SCAT1	expression association	CAV1
TGFB2	expression association	HOTAIR
SNHG6	ceRNA or sponge	STYX
NEAT1	ceRNA or sponge	KRAS
TUSC8	interact with mRNA	MYC
lncRNA-5657	transcriptional regulation	SPNS2
SOX2-OT	epigenetic regulation	PTEN
HNF1A-AS1	interact with protein	EZH2
HOXB-AS3	transcriptional regulation	CDC25A
LUCAT1	ceRNA or sponge	MIR5702
XIXT	ceRNA or sponge	RUNX2
LUCAT1	ceRNA or sponge	KLF6
MALAT1	interact with protein	P65
LIFR-AS1	ceRNA or sponge	TNFAIP3
LncRNATCF7	ceRNA or sponge	DNMT1
ECRG4	expression association	MMP13
EGFR-AS1	expression association	EGFR,
HCP5	ceRNA or sponge	CEMIP
NORAD	ceRNA or sponge	PBX3
GAS5	ceRNA or sponge	FOXO3
H19	ceRNA or sponge	ROCK2
Uc003xsl.1	transcriptional regulation	NKRF
AWPPH	expression association	TGFB1
MAFG-DT	ceRNA or sponge	MAFG
PVT1	ceRNA or sponge	ERG
ADIPOQ	ceRNA or sponge	TP53
OR3A4P	transcriptional regulation	CDK1
DANCR	interact with protein	IL11
TUSC7	ceRNA or sponge	GATA3
MYC	transcriptional regulation	NEAT1
CASC2	expression association	PTEN
HOTTIP	ceRNA or sponge	miR-216a-5p
MELTF-AS1	ceRNA or sponge	MYCBP
MIAT	ceRNA or sponge	EPHA2
NKILA	interact with protein	IkBalpha
MIR503HG	ceRNA or sponge	SMAD3
GABARAPL2	expression association	TNF
LINC00662	ceRNA or sponge	YAP1
XIST	ceRNA or sponge	miR-200b-3p
IQANK1	expression association	HES1
SP1	transcriptional regulation	AGAP2-AS1
HOTAIR	epigenetic regulation	EIF4E
SNHG7	ceRNA or sponge	STAT2
PVT1	expression association	BCL2
DANCR	epigenetic regulation	FOXO1
JPX	expression association	XIST
LL22NC03-N64E9.1	epigenetic regulation	KLF2
LUCAT1	ceRNA or sponge	ABCB1
XLOC_006390	expression association	KMT5A
SOX2-OT	ceRNA or sponge	TRAF6
MALAT1	ceRNA or sponge	miR-199b
NORAD	ceRNA or sponge	MTDH
AK039862	expression association	PAFAH1B1
AGAP2-AS1	epigenetic regulation	ANKRD1
HOTAIR	expression association	VIM
LINC00963	ceRNA or sponge	miR-128-3p
MITA1	expression association	MAP1LC3A
SNHG1	ceRNA or sponge	DCLK1
RP11-789C1.1	ceRNA or sponge	CDH1
GAS5	ceRNA or sponge	miR-223-3P
GAS5	expression association	Caspase9
PCED1B-AS1	ceRNA or sponge	miR-155
ILF3-DT	epigenetic regulation	miR-429
STAT3	transcriptional regulation	MEG3
ZNF667-AS1	expression association	TGFB1
CRNDE	expression association	PIK3CA
NR2F2-AS1	epigenetic regulation	miR-494
PAUPAR	epigenetic regulation	HES1
XIC	ceRNA or sponge	CDKN1A
HOTAIR	expression association	SMAD7
RXRA	transcriptional regulation	HULC
CASC15	expression association	BCL2
LINC01225	interact with protein	EGFR
MAPKAPK5-AS1	expression association	CDKN1A
DUXAP9	ceRNA or sponge	MYCN
TTN-AS1	ceRNA or sponge	miR-376b-3p
SNHG15	ceRNA or sponge	CD274
STAT3	transcriptional regulation	TNK2-AS1
MRUL	expression association	ABCB1
THAP7-AS2	interact with protein	miR-22-3p
SNHG3	transcriptional regulation	Snai
NONHSAT105177	expression association	CLU
BCAR4	expression association	CDH2
UCA1	interact with protein	SMARCA4
SNHG5	expression association	MRP1
YAP1	expression association	HOTAIR
UNC5B-AS1	expression association	VIM
MIR124-1HG	ceRNA or sponge	DDIT3
LINC00261	expression association	ATM
CASC9-1	ceRNA or sponge	miR-383-5p
MALAT1	ceRNA or sponge	CCND1
LINC01503	expression association	MAPK1
GAS5	expression association	PIK3CA
Lnc34a	epigenetic regulation	miR-34a
NEAT1	ceRNA or sponge	E2F3
NORAD	interact with protein	S100P
MALAT1	interact with protein	SUZ12
MINCR	expression association	AURKA
MALAT1	ceRNA or sponge	MAT2A
HOTAIR	interact with protein	LAMTOR5
LINC00460	expression association	Cyclin D1
TP73-AS1	ceRNA or sponge	TGFA
FGFR3-AS1	interact with mRNA	FGFR3
CCL21	expression association	MALAT1
GSTM3TV2	ceRNA or sponge	FOSL2
DBH-AS1	expression association	p-PI3K
TINCR	ceRNA or sponge	ROCK1
COMMD6	ceRNA or sponge	TEX41
ABHD11-AS1	transcriptional regulation	TIMP2
DGCR5	expression association	WNT3A
GAS5	ceRNA or sponge	KCNK3
TUG1	ceRNA or sponge	CXCR4
OIP5-AS1	ceRNA or sponge	BCL2
ILF3-DT	ceRNA or sponge	CAMK1D
SNHG12	interact with protein	SP1
LINC-ROR	ceRNA or sponge	miR-133
DLX6-AS1	ceRNA or sponge	YAP1
ERLR	interact with protein	MYH9
ESR1	interact with protein	HOTAIR
ZXF2	interact with protein	MYC
LINC01118	expression association	ABCC1
LINC02418	ceRNA or sponge	BCL2
NEAT1	expression association	ABCG2
MALAT1	expression association	MAP2K1
GATA3-AS1	expression association	CD274
CBP	epigenetic regulation	GATA3-AS1
LINC00173	ceRNA or sponge	Etk
STAT1	transcriptional regulation	SPAAR
FOXD2-AS1	transcriptional regulation	STAT3
H19	epigenetic regulation	NKD1
FOXD3-AS1	expression association	MMP2
LINC00974	expression association	SMAD2
GAS5	expression association	Cyclin D1
FBXL19-AS1	ceRNA or sponge	miR-342-3p
TMPO-AS1	ceRNA or sponge	miR<U+2011>140<U+2011>5p
CDKN2B-AS1	ceRNA or sponge	TXNIP
RP11-708H21.4	expression association	MTOR
CCAT2	expression association	SMAD2
linc-UFC1	expression association	CCND1
DBH-AS1	expression association	CDKN1A
GAS1RR	expression association	SOX2
MALAT1	ceRNA or sponge	miR-503-5p
TP53COR1	expression association	HIF1A
MALAT1	ceRNA or sponge	CTLA4
DLX6-AS1	ceRNA or sponge	RUNX2
HOTAIR	epigenetic regulation	miR-205
MALAT1	expression association	IQGAP1
TUG1	ceRNA or sponge	CAPN7
MACC1-AS1	expression association	LAST1/2
ZFAS1	ceRNA or sponge	STAT3
MIR503HG	expression association	ZEB1
LUCAT1	interact with protein	MAPK
LINC00504	expression association	PDK1
LOXL1-AS1	ceRNA or sponge	RAP1B
MALAT1	expression association	FGF2
HOTTIP	expression association	CDC25C
SNHG5	expression association	BAX
DANCR	expression association	CDH2
NEAT1	ceRNA or sponge	RELA
PICSAR	ceRNA or sponge	MIR573
MALAT1	expression association	SIRT1
CCAT2	expression association	CDKN1A
UNC5B-AS1	ceRNA or sponge	miR-218-5p
LNCNEF	expression association	RUNX1
CCAT1	ceRNA or sponge	miR-130a-3p
HNF1A-AS1	ceRNA or sponge	CDK6
H19	ceRNA or sponge	WNT1
sONE	expression association	miR-34a
LOC100129620	ceRNA or sponge	CDK6
MCTP1-AS1	ceRNA or sponge	miR-650
AKT1	epigenetic regulation	LINC01546
HCG11	ceRNA or sponge	SOCS5
NOTCH1	transcriptional regulation	LUNAR1
LINC00707	ceRNA or sponge	CDK14
CASC2	expression association	CDH2
UCA1	expression association	miR-196a-5p
lncRNA-PRLB	ceRNA or sponge	SIRT1
MALAT1	ceRNA or sponge	SRSF1
NNT-AS1	ceRNA or sponge	miR-203
LINC-ROR	ceRNA or sponge	miR-145
KRAS	expression association	UCA1
CCND2-AS1	expression association	CDH2
NNT-AS1	ceRNA or sponge	miR-320a
MIR100HG	interact with protein	EZH2
COMETT	expression association	MMP9
HAGLROS	expression association	ACACA
XLOC_006753	expression association	AKT1
TUG1	ceRNA or sponge	MMP9
lncRNA-TM1P3	ceRNA or sponge	MMP13
MEG3	transcriptional regulation	MET
SNHG3	ceRNA or sponge	SMURF1
AOC4P	interact with protein	UHRF1
lncATB	ceRNA or sponge	TWIST1
PANDAR	expression association	BCL2
IATPR	expression association	IRS1
GABARAPL2	expression association	IL6
HULC	expression association	SNAI1
miR-212	ceRNA or sponge	MEG3
NBR2	expression association	NOTCH1
XIST	ceRNA or sponge	RHOA
DANCR	ceRNA or sponge	TGFBR1
LINC00320	interact with protein	CTNNB1
RP11-670E13.6	ceRNA or sponge	CDK4
TMPO-AS1	ceRNA or sponge	HIF1A
LINC01128	transcriptional regulation	SFN
ZFAT-AS1	transcriptional regulation	CDX2
HAGLR	epigenetic regulation	E2F1
TP53COR1	expression association	GLS2
NORAD	ceRNA or sponge	E2F1
PVT1	ceRNA or sponge	miR-17-5p
CCAT2	transcriptional regulation	CCN4
SNHG16	ceRNA or sponge	NOVA
SNHG1	ceRNA or sponge	UBE2C
DLX6-AS1	expression association	MTOR
LINC01116	ceRNA or sponge	radixin
MIR22HG	ceRNA or sponge	ADAMTS5
HOTTIP	expression association	CDKN1A
NEAT1	interact with protein	RTCB
HAND2-AS1	expression association	BAX
SNHG7	ceRNA or sponge	RPL4
NORAD	interact with mRNA	MIR496
MSC-AS1	ceRNA or sponge	JAK2
SNHG1	interact with protein	EZH2
CASC11	transcriptional regulation	HNRNPK
MIR924HG	interact with protein	SOCS1
FENDRR	ceRNA or sponge	miR-761
MALAT1	expression association	STAT3
PVT1	ceRNA or sponge	FOXQ1
MALAT1	expression association	EPCAM
NEAT1	ceRNA or sponge	SPP1
ARSR	expression association	STAT3
HOTAIR	interact with protein	RUNX3
MEG3	ceRNA or sponge	KLF4
TOB1-AS1	ceRNA or sponge	DTX3
NNT-AS1	expression association	MYC
MEG3	ceRNA or sponge	PHLPP2
RP11-301G19.1	ceRNA or sponge	HMGB2
OR3A4P	expression association	AGGF1
HIF1A-AS2	expression association	Caspase7
UCA1	ceRNA or sponge	JAG1
Lnc-HZ08	interact with protein	PIK3CA
CISAL	expression association	GABPA
MALAT1	expression association	TIA1
PEG10	ceRNA or sponge	miR-134
DANCR	ceRNA or sponge	JAG1
MALAT1	ceRNA or sponge	MTOR
GAS5	expression association	BRCA1
