Regulator	SearchregulatoryMechanism	Target
UCA1	ceRNA or sponge	MYO6
LINC00473	ceRNA or sponge	BASP1
MALAT1	ceRNA or sponge	SOX13
ASMTL-AS1	ceRNA or sponge	FOXO1
BAN	expression association	BCAM
SNHG7	ceRNA or sponge	GLI3
IGFL2-AS1	ceRNA or sponge	ARPP19
MEG3	ceRNA or sponge	E-cadherin
CCAT1	expression association	RUNX2
MALAT1	ceRNA or sponge	RHOA
MALAT1	expression association	Cyclin D1
MALAT1	expression association	vimentin
MALAT1	expression association	E-cadherin
TUG1	ceRNA or sponge	MDM2
SBF2-AS1	ceRNA or sponge	MBNL3
MNX1-AS1	transcriptional regulation	BTG2
MNX1-AS1	ceRNA or sponge	BCL2
TEAD4	transcriptional regulation	MNX1-AS1
SNHG16	ceRNA or sponge	HOXA7
VPS9D1-AS1	ceRNA or sponge	MEF2D
UCA1	ceRNA or sponge	SIRT1
KCNQ1OT1	ceRNA or sponge	LMX1A
HOTTIP	ceRNA or sponge	HMGA2
HOTTIP	expression association	E-cadherin
MAGI2-AS3	ceRNA or sponge	SOCS1
TP73-AS1	expression association	TGFB1
LOXL1-AS1	ceRNA or sponge	PIK3CA
NCK-AS1	ceRNA or sponge	MIR137
MX1	interact with protein	CD274
MX1	interact with protein	galectin-9
MX1	interact with protein	GCN5
lnc-BMP1-1	expression association	CAV1
DRAIC	expression association	NFKB1
DLGAP1-AS2	expression association	YAP1
XIST	ceRNA or sponge	IRS1
CRAL	ceRNA or sponge	CYLD
RAD21	transcriptional regulation	IGSF9B
IGSF9B	ceRNA or sponge	PRR12
LUNAR1	expression association	IGF1
EFNA1	interact with protein	EIF4B
AFAP1-AS1	expression association	RAB10
AFAP1-AS1	expression association	ARHGDIA
AFAP1-AS1	expression association	PFN1
AFAP1-AS1	expression association	RHOC
AFAP1-AS1	expression association	RhoGD
CARMN	epigenetic regulation	miR-21
GATA3-AS1	expression association	PTEN
GATA3-AS1	expression association	CDKN1A
GATA3-AS1	expression association	TP53
C2orf92	ceRNA or sponge	MIR1972-1
GMDS-DT	ceRNA or sponge	CYLD
DANCR	interact with protein	SOCS3
MIR503HG	expression association	WNT1
LINC00324	ceRNA or sponge	miR-214-3p
LINC02882	ceRNA or sponge	TNKS2
TSPOAP1-AS1	epigenetic regulation	THBS1
TSPOAP1-AS1	interact with protein	DNMT3B
MNX1-AS1	ceRNA or sponge	RAB1A
HCG18	ceRNA or sponge	CCND1
BLACAT1	ceRNA or sponge	miR-142-5p
CASC15	expression association	CTNNB1
CASC15	expression association	BCL2
CASC15	expression association	BAX
TP53	expression association	PRECSIT
KCNQ1OT1	ceRNA or sponge	TSPAN3
PCGEM1	ceRNA or sponge	FBXW11
CDKN2B-AS1	ceRNA or sponge	TP53BP2
LINC00265	expression association	EGFR
lncRNA-14327.1	interact with protein	KCNN4
HOXA-AS2	transcriptional regulation	RND3
ELFN1-AS1	expression association	Erk
ELFN1-AS1	expression association	IRS1
ELFN1-AS1	expression association	vimentin
ZFAT-AS1	transcriptional regulation	CDX2
DGCR8	interact with mRNA	ZFAT-AS1
LINC01088	interact with protein	EZH2
LINC01088	expression association	CDKN1A
LINC01518	ceRNA or sponge	PIK3CA
STARD13-AS	expression association	Cyclin E
STARD13-AS	expression association	Cyclin D
STARD13-AS	expression association	N-cadherin
STARD13-AS	expression association	vimentin
STARD13-AS	expression association	E-cadherin
CERNA2	ceRNA or sponge	SYF2
LINRIS	interact with protein	IGF2BP2
MEG3	expression association	EN2
LUCAT1	ceRNA or sponge	MIR539
NNT-AS1	ceRNA or sponge	PODXL
MYCNOS	ceRNA or sponge	PREX2
ZFAS1	ceRNA or sponge	STAT3
SNHG16	interact with protein	SPI1
SNHG16	transcriptional regulation	PARP9
PVT1	ceRNA or sponge	MDM2
FOXD2-AS1	ceRNA or sponge	CPEB4
MBNL1-AS1	ceRNA or sponge	PHLPP2
MBNL1-AS1	ceRNA or sponge	FOXO1
LINC01111	ceRNA or sponge	DUSP1
PRKCZ-AS1	expression association	CD209
NCK1-DT	ceRNA or sponge	NCK1
HAND2-AS1	ceRNA or sponge	PDCD4
HOXA11-AS	epigenetic regulation	HOXA11
KCNQ1OT1	ceRNA or sponge	RAB14
CDKN2B-AS1	ceRNA or sponge	CDK6
CRNDE	ceRNA or sponge	miR-29c-3p
HCP5	ceRNA or sponge	CEMIP
TP53	transcriptional regulation	uc061hsf.1
uc061hsf.1	expression association	FOXA1
SNHG12	ceRNA or sponge	IGF1R
LINC00899	ceRNA or sponge	DICER1
LOXL1-AS1	ceRNA or sponge	SEMA7A
ID2-AS1	interact with protein	HDAC8
ID2-AS1	transcriptional regulation	ID2
CDKN2B-AS1	expression association	CDK4
CDKN2B-AS1	expression association	Cyclin D1
CDKN2B-AS1	expression association	E-cadherin
CDKN2B-AS1	expression association	vimentin
CDKN2B-AS1	expression association	N-cadherin
RP11-468E2.5	interact with protein	STAT5A
RP11-468E2.5	interact with protein	STAT6
RP11-468E2.5	expression association	JAK2
RP11-468E2.5	interact with protein	STAT3
RP11-468E2.5	expression association	CCND1
RP11-468E2.5	expression association	BCL2
RP11-468E2.5	expression association	CDKN1A
RP11-468E2.5	expression association	IFI27
HULC	ceRNA or sponge	MIR133B
HULC	expression association	N-cadherin
HULC	expression association	vimentin
HULC	expression association	E-cadherin
RBMS3-AS3	ceRNA or sponge	VASH1
H19	ceRNA or sponge	BRD4
DLX6-AS1	ceRNA or sponge	RUNX2
DLEU1	expression association	AKT1
DLEU1	expression association	E-cadherin
DLEU1	expression association	N-cadherin
DLEU1	expression association	vimentin
DLEU1	expression association	BCL2
DLEU1	expression association	Caspase3
DLEU1	expression association	Caspase9
DLEU1	expression association	BAX
PITPNA-AS1	ceRNA or sponge	WNT5A
MIAT	ceRNA or sponge	miR-495
SNHG1	ceRNA or sponge	PLK4
FAM83A-AS1	interact with protein	NOP58
FAM83A-AS1	interact with mRNA	FAM83A
WT1-AS	expression association	TP53
PRECSIT	ceRNA or sponge	WDR18
CTNNB1	expression association	PRECSIT
LINC00355	ceRNA or sponge	CCNE1
CASC2	expression association	BCL2
WWTR1-AS1	expression association	WWTR1
CCDC26	expression association	IGF1R
MEG3	expression association	miR-219a-5p
MEG3	epigenetic regulation	EGFR
MEG3	expression association	ILF3
SNHG7	ceRNA or sponge	miR-34a
MIR122	expression association	UCA1
RHPN1-AS1	expression association	TP53
RHPN1-AS1	ceRNA or sponge	MIR4261
MYC	ceRNA or sponge	RHPN1-AS1
miR-21	expression association	SNHG1
MIR205HG	ceRNA or sponge	FOXP2
DSCAM-AS1	ceRNA or sponge	miR-136
PCAT1	expression association	AKT1
FALEC	chromatin looping	ECM1
SNHG12	ceRNA or sponge	SOX4
HOXA-AS3	expression association	miR-29c
HOXA-AS3	ceRNA or sponge	BMP1
H22954	expression association	BCL2
TTN-AS1	ceRNA or sponge	miR-376b-3p
AK002107	ceRNA or sponge	TGFBR1
SNHG16	ceRNA or sponge	miR-98-5p
HCP5	ceRNA or sponge	miR-139-5p
SMAD5-AS1	ceRNA or sponge	miR-135b-5p
SMAD5-AS1	ceRNA or sponge	APC
MALAT1	ceRNA or sponge	TMX2-CTNND1
ADAMTS9-AS2	expression association	miR-130a-5p
ADAMTS9-AS2	ceRNA or sponge	PTEN
NORAD	ceRNA or sponge	miR-190a-3p
TTN-AS1	ceRNA or sponge	ZNRF2
SNHG1	ceRNA or sponge	TLR4
LINC00994	ceRNA or sponge	RUNX2
HOTAIR	ceRNA or sponge	DACH1
ANKRD40CL	ceRNA or sponge	HOXA10
ANKRD40CL	expression association	BAX
ANKRD40CL	expression association	CDKN1A
ANKRD40CL	expression association	E-cadherin
LNCNEF	expression association	RUNX1
LINC00958	ceRNA or sponge	PAX8
MIAT	ceRNA or sponge	VEGFC
ZEB1-AS1	expression association	ID1
SNHG7	ceRNA or sponge	STAT2
DGCR5	expression association	MTOR
ST3GAL6-AS1	expression association	FOXO1
ST3GAL6-AS1	expression association	ST3GAL6
FOXO1	expression association	ST3GAL6-AS1
FBXL19-AS1	ceRNA or sponge	RAF1
MSC-AS1	ceRNA or sponge	miR-140-5p
MSC-AS1	ceRNA or sponge	CDK6
LEF1-AS1	ceRNA or sponge	WNK1
TGFB1	expression association	loc285194
PVT1	expression association	miR181a-5p
miR181a-5p	expression association	PVT1
PVT1	expression association	SP1
LINC01638	expression association	TGFB1
EZR-AS1	expression association	TGFB1
EZR-AS1	expression association	SMAD2
EZR-AS1	expression association	alpha-SMA
SMAD2	expression association	EZR-AS1
EZR-AS1	expression association	E-cadherin
EZR-AS1	expression association	Vimentin
COL1A1-014	ceRNA or sponge	miR-1273h-5p
MIR503HG	expression association	TGFB2
TINCR	expression association	TP53
HOTAIR	epigenetic regulation	HOXA5
GAS8-AS1	expression association	AFAP1-AS1
NRON	expression association	snaR
HBX	expression association	SNHG20
SNHG20	expression association	PTEN
MYC	expression association	SNHG16
TPTEP1	ceRNA or sponge	miR-328-5p
TPTEP1	ceRNA or sponge	SRCIN1
PSTPIP1	expression association	HOTTIP
NR2F2-AS1	expression association	RAC1
CCAT1	ceRNA or sponge	FSCN1
WT1-AS	expression association	miR-203
SNHG14	expression association	DGCR8
CASC15	expression association	miR-124
IUR	expression association	miR-200
IUR	ceRNA or sponge	ZEB1
LOC105372579	ceRNA or sponge	FOXP4
LINC00515	ceRNA or sponge	PRMT5
MBNL1-AS1	ceRNA or sponge	TGFBR2
UCA1	ceRNA or sponge	CDK6
LncRNA-SRA1	ceRNA or sponge	MIR208A
LINC01234	ceRNA or sponge	OTUB1
SP1	transcriptional regulation	LINC01234
TRPM2-AS	ceRNA or sponge	HMGA1
ELK1	transcriptional regulation	TRPM2-AS
HCP5	ceRNA or sponge	miR-128-3p
NOC2L-4.1	ceRNA or sponge	YAP1
LINC00313	epigenetic regulation	ALX4
SPRY4-IT1	ceRNA or sponge	ZEB1
AWPPH	ceRNA or sponge	FZD7
HNRNPAB	interact with protein	lnc-ELF209
lnc-ELF209	interact with protein	TPI1
PYCARD-AS1	interact with protein	PYCARD
HAGLROS	ceRNA or sponge	ATG12
LINC00511	ceRNA or sponge	miR-424
AFAP1-AS1	interact with protein	RBM5
RP1	transcriptional regulation	CDKN1B
KLF5	transcriptional regulation	RP1
TPTEP1	transcriptional regulation	STAT3
LINC-PINT	expression association	miRNA-21
AFAP1-AS1	expression association	HBP1
C1QTNF1-AS1	ceRNA or sponge	SOCS3
MT1JP	expression association	AKT1
MT1JP	expression association	PTEN
HOXA-AS2	ceRNA or sponge	miR-520a-3p
EGF	expression association	LINC01089
BDNF-AS	epigenetic regulation	GSK-3beta
FOXD3-AS1	ceRNA or sponge	SIRT1
Lnc-NA	interact with protein	NR4A1
LINC00511	ceRNA or sponge	CDK6
FOXO1	interact with protein	LETR1
PTCSC3	expression association	H19
XIST	ceRNA or sponge	miR-34a
XIST	expression association	YY1AP1
XIST	expression association	EGFR
HOXA11-AS	ceRNA or sponge	ABCC10
NKILA	expression association	XIST
SMIM31	ceRNA or sponge	AGR2
MEG3	ceRNA or sponge	DKK2
UCA1	ceRNA or sponge	HOXB3
GEHT1	expression association	HIF1A
LEF1-AS1	interact with protein	LATS1
MALAT1	ceRNA or sponge	PNPO
SNHG15	ceRNA or sponge	FKBP1A
TNF	expression association	HULC
HULC	ceRNA or sponge	miR-101-3p
DGCR5	ceRNA or sponge	miR-506
EPB41L4A-DT	ceRNA or sponge	FOXL1
YAP/TAZ-TEADcomplex	interact with protein	NORAD
NORAD	interact with protein	S100P
HIF2PUT	expression association	HIF-2alpha
URRCC	epigenetic regulation	EGFL7
FOXO3	interact with protein	URRCC
SANT1	epigenetic regulation	SLC47A2
ADPGK-AS1	ceRNA or sponge	KDM1B
UCA1	ceRNA or sponge	CXCR4
TNRC6C-AS1	epigenetic regulation	STK4
EGR1	transcriptional regulation	FOXD2-AS1
FOXD2-AS1	epigenetic regulation	DKK1
NEAT1	ceRNA or sponge	VEGFA
GATD3	interact with protein	SOX2
GATD3	interact with protein	POU5F1
TUG1	ceRNA or sponge	CCND2
MSC-AS1	ceRNA or sponge	CDK14
LOC730100	ceRNA or sponge	FOXA1
SBF2-AS1	ceRNA or sponge	HDAC3
B4GALT1-AS1	interact with protein	YY1AP1
LNCNEF	expression association	TGFB1
AB073614	expression association	PTEN
TP53COR1	expression association	GLS2
UCA1	transcriptional regulation	miR-200c
AWPPH	expression association	CTNNB1
KB-1471A8.2	expression association	CDK4
FBXL19-AS1	ceRNA or sponge	MIR718
CDKN2B-AS1	ceRNA or sponge	TGFbetaI
TP53	interact with protein	C2orf92
SATB2-AS1	epigenetic regulation	SATB2
SATB2-AS1	epigenetic regulation	SNAI1
TP53	interact with protein	TP53COR1
TP53COR1	epigenetic regulation	STAT3
MIR22HG	transcriptional regulation	CTNNB1
TINCR	ceRNA or sponge	miR-7-5P
SP1	transcriptional regulation	TINCR
DBH-AS1	expression association	p-PI3K
DBH-AS1	expression association	p-Akt
LNCNEF	expression association	miRNA-155
BRE-AS1	ceRNA or sponge	miR-145-5p
ESR1	interact with protein	LINC00472
LINC00472	interact with protein	NFKB1
LINC00460	transcriptional regulation	miR-320a
HAGLR	epigenetic regulation	HOXD3
RREB1	transcriptional regulation	AGAP2-AS1
AGAP2-AS1	epigenetic regulation	ANKRD1
AGAP2-AS1	epigenetic regulation	ANGPTL4
SOX2-OT	epigenetic regulation	PTEN
HOTAIR	ceRNA or sponge	STAT3
HOTAIR	ceRNA or sponge	Cyclin D1
MEG3	ceRNA or sponge	SOCS5
MEG3	ceRNA or sponge	SOCS6
HOTTIP	transcriptional regulation	CTNNB1
LINC01554	epigenetic regulation	PKM
MIR365A	expression association	LINC01554
DLX6-AS1	ceRNA or sponge	WEE1
LINC02041	expression association	Jagged-1
LINC02041	expression association	HES1
LINC02041	expression association	HES5
LINC02041	expression association	ATOH1
SUMO1P3	epigenetic regulation	CPEB3
SLC25A5-AS1	ceRNA or sponge	PTEN
LINC00968	transcriptional regulation	WNT2
MT1JP	ceRNA or sponge	miR-24-3p
TUG1	transcriptional regulation	MT2A
TUG1	transcriptional regulation	RND3
HOXB-AS1	ceRNA or sponge	HOXB2
SNHG20	ceRNA or sponge	ZEB2
FGF13-AS1	interact with protein	IGF2BPs
MYC	transcriptional regulation	FGF13-AS1
FGF13-AS1	expression association	MYC
DNM3OS	expression association	SNAI1
TFAP2A-AS1	ceRNA or sponge	SMAD2
TMPOP2	expression association	E-cadherin
E6	expression association	TMPOP2
E7	expression association	TMPOP2
TMPOP2	ceRNA or sponge	E6
TMPOP2	ceRNA or sponge	E7
PRECSIT	ceRNA or sponge	BRD4
TUBA4B	ceRNA or sponge	miR-19
PICART1	expression association	ERK
PICART1	expression association	AKT1
LINC00518	expression association	JAK
WT1-AS	ceRNA or sponge	FOXN2
EZH2	epigenetic regulation	TCAM1P-004
EZH2	epigenetic regulation	RP11-598D14.1
TCAM1P-004	interact with protein	IGF2BP1
TCAM1P-004	interact with protein	H1-2
RP11-598D14.1	interact with protein	IGF2BP1
RP11-598D14.1	interact with protein	STAU1
XIC	ceRNA or sponge	CDKN1A
C3orf85	expression association	ACLY
TFDP1	expression association	CTNNB1
MALAT1	expression association	ABC
MALAT1	expression association	ABCG2
MALAT1	expression association	MDR1
MALAT1	expression association	MRP1
MALAT1	ceRNA or sponge	miR-20b-5p
TUSC7	ceRNA or sponge	miR-371a-5p
EPIC1	epigenetic regulation	MEF2D
LINC01305	transcriptional regulation	TNXB
LINC01939	ceRNA or sponge	EGR2
CASC2	interact with protein	HNRNPD
MIR22HG	ceRNA or sponge	NCOR2
CASC9	expression association	AKT1
MIR503HG	expression association	ZEB1
MIR503HG	expression association	SNAI1
MIR503HG	expression association	N-cadherin
MIR503HG	expression association	E-cadherin
MIR22HG	expression association	NOTCH2
OTUD6B-AS1	expression association	E-cadherin
AGO2	expression association	CTNNB1
MIR31HG	ceRNA or sponge	miR-214
SP1	transcriptional regulation	SEMA3B-AS1
SEMA3B-AS1	interact with protein	SEMA3B
MALAT1	ceRNA or sponge	AR
MALAT1	transcriptional regulation	DHT
UCA1	ceRNA or sponge	JAG1
UCA1	expression association	TGFbeta1
Rg3	transcriptional regulation	CCAT1
LINC02465	expression association	PIK3CA
UCA1	interact with protein	CDKN1A
UCA1	epigenetic regulation	CREB
UCA1	expression association	AKT1
LINC00339	ceRNA or sponge	HOXC6
LINC00518	epigenetic regulation	CDX2
GHET1	expression association	KLF2
CASC2	expression association	AKT1
HIF1A-AS2	expression association	BAX
HIF1A-AS2	expression association	Caspase7
HIF1A-AS2	expression association	BCL2
ATB	ceRNA or sponge	miR-126
NEAT1	ceRNA or sponge	FN1
TUG1	ceRNA or sponge	ITGB1
TUG1	ceRNA or sponge	MMP2
TUG1	ceRNA or sponge	MMP9
SNHG7	ceRNA or sponge	PI3KR3
E2F1	transcriptional regulation	SBF2-AS1
SBF2-AS1	ceRNA or sponge	GRB2
HCP5	expression association	miR-27b-3p
HCP5	expression association	Vimentin
HCP5	expression association	N-cadherin
CYCSP5	expression association	E-cadherin
RPPH1	expression association	BAX
RPPH1	expression association	Caspase3
RPPH1	expression association	BCL2
SNHG5	ceRNA or sponge	RNF38
PCED1B-AS1	transcriptional regulation	HIF1A
HNF1A-AS1	transcriptional regulation	OTX1
SNHG1	ceRNA or sponge	LMO4
GHET1	transcriptional regulation	CTNNB1
LINC01410	ceRNA or sponge	CHD7
EZH2	transcriptional regulation	PHACTR2-AS1
PHACTR2-AS1	epigenetic regulation	SUV39H1
LINC00612	ceRNA or sponge	SOX4
TUG1	ceRNA or sponge	XBP1
MIAT	transcriptional regulation	miR-150
NONHSAT141924	transcriptional regulation	p-CREB
NONHSAT141924	transcriptional regulation	BCL2
ZEB2-AS1	transcriptional regulation	EZH2
BCAR4	ceRNA or sponge	TLX1
YY1	transcriptional regulation	LINC01134
LINC01134	ceRNA or sponge	IGF2BP1
FENDRR	ceRNA or sponge	NPR3
miR-223-5p	transcriptional regulation	TP73-AS1
CCAT2	ceRNA or sponge	VEGFA
EWSR1	ceRNA or sponge	SOX2
ZNF710-AS1-202	transcriptional regulation	ZNF710
XIST	transcriptional regulation	SMAD2
NEAT1	ceRNA or sponge	GLI1
MYC	transcriptional regulation	NEAT1
ACTG1P25	epigenetic regulation	PFKFB3
TP53	transcriptional regulation	ACTG1P25
MIR4435-2HG	ceRNA or sponge	FLOT2
SNHG5	ceRNA or sponge	TWIST1
PVT1	ceRNA or sponge	RAB34
miR-194-5p	epigenetic regulation	NEAT1
NORAD	transcriptional regulation	miR-199a-3p
TMPO-AS1	ceRNA or sponge	HIF1A
LY6E-DT	epigenetic regulation	TIMM50
SNHG16	ceRNA or sponge	RRM2
LINC01354	transcriptional regulation	integrinbeta1
TMPO-AS1	ceRNA or sponge	SOX4
TDRG1	ceRNA or sponge	SOX4
NORAD	ceRNA or sponge	PBX3
MIR4435-2HG	transcriptional regulation	MAPK
MIR4435-2HG	transcriptional regulation	ERK
MIAT	ceRNA or sponge	CCND1
TP53COR1	epigenetic regulation	MDM2
TUG1	transcriptional regulation	Nrf2
AFAP1-AS1	ceRNA or sponge	FGF7
LINC01234	ceRNA or sponge	PAK4
GPER1	interact with protein	lncRNA-Glu
CAR10	ceRNA or sponge	PDPK1
FLVCR1-DT	ceRNA or sponge	YAP1
MIR17HG	ceRNA or sponge	RELA
MIR17HG	ceRNA or sponge	BLNK
STAT1	expression association	HAS2-AS1
HAS2-AS1	ceRNA or sponge	PRPS1
SNHG7	ceRNA or sponge	MIR381
SSATX	expression association	TCF
PTENP1	ceRNA or sponge	TSC1
RNA00887	ceRNA or sponge	miR-613
RNA00887	ceRNA or sponge	MIR206
LINC00887	ceRNA or sponge	MIR1-2
NR2F1-AS1	ceRNA or sponge	CCND1
SNHG20	ceRNA or sponge	MDM2
SNHG7	transcriptional regulation	RBM5
LINC01535	ceRNA or sponge	EZH2
ADPGK-AS1	ceRNA or sponge	OTX1
SNHG14	ceRNA or sponge	HMGB1
HOXB-AS3	transcriptional regulation	CDK1
HOXB-AS3	transcriptional regulation	CCNB2
HOXB-AS3	transcriptional regulation	CDC25A
HOXB-AS3	transcriptional regulation	PCNA
HOXB-AS3	transcriptional regulation	CDC6
HOXB-AS3	transcriptional regulation	MCM4
HOXB-AS3	transcriptional regulation	MCM6
MNX1-AS1	transcriptional regulation	CDKN1A
TRG-AS1	ceRNA or sponge	SUZ12
SNHG1	ceRNA or sponge	PHLDA1
IGF2-AS	ceRNA or sponge	SHOX2
LINC00689	ceRNA or sponge	PKM
YY1	transcriptional regulation	ARAP1-AS1
PXN-AS1-L	transcriptional regulation	SAPCD2
OR3A4P	transcriptional regulation	CDK1
DANCR	ceRNA or sponge	MIR214
LINC00668	ceRNA or sponge	KLF7
STAT3	transcriptional regulation	LINC00668
LINC00511	expression association	JAK2
CRNDE	ceRNA or sponge	SIX1
BLACAT1	ceRNA or sponge	VASP
MALAT1	transcriptional regulation	SFPQ
CCAT1	ceRNA or sponge	MMP14
CREB1	transcriptional regulation	HAS2-AS1
HAS2-AS1	ceRNA or sponge	RUNX2
OIP5-AS1	ceRNA or sponge	NOB1
HOXC13-AS	ceRNA or sponge	PTEN
NORAD	ceRNA or sponge	E2F1
LINC01018	ceRNA or sponge	FOXO1
ZFAS1	ceRNA or sponge	WNT1
MNX1-AS1	ceRNA or sponge	COMMD8
SNHG16	ceRNA or sponge	HMGB1
SNHG12	ceRNA or sponge	miR-195
LINC00858	ceRNA or sponge	YWHAZ
PCAT6	expression association	CTNNB1
PCAT6	expression association	Cyclin D1
LOC105369748	ceRNA or sponge	MBD2
SOX21-AS1	ceRNA or sponge	VDAC1
SNHG16	ceRNA or sponge	BCL9
LINC00461	ceRNA or sponge	LRIG2
LINC02023	transcriptional regulation	PTEN
ZFAS1	ceRNA or sponge	SKA1
LINC01503	transcriptional regulation	TOP-FLASH
LINC01503	transcriptional regulation	CTNNB1
LINC01503	transcriptional regulation	Cyclin D1
LINC01503	transcriptional regulation	MYC
SP1	transcriptional regulation	LUCAT1
LUCAT1	ceRNA or sponge	miR-181a
ZEB2-AS1	transcriptional regulation	ZEB2
ZEB1	transcriptional regulation	LBX2-AS1
AFAP1-AS1	expression association	RAB11A
AFAP1-AS1	expression association	RAB1B
AFAP1-AS1	expression association	LASP1
CASC9	ceRNA or sponge	CHEK1
LINC01234	ceRNA or sponge	SHMT2
BLACAT1	ceRNA or sponge	CCR2
CYTOR	ceRNA or sponge	CDK9
SP1	transcriptional regulation	LINC00665
LINC00665	ceRNA or sponge	AKR1B10
LUCAT1	transcriptional regulation	UBA52
CXCR4	transcriptional regulation	XIST
XIST	ceRNA or sponge	RHOA
LINC00163	transcriptional regulation	TCF21
GAPLINC	ceRNA or sponge	miR-331-3p
HOXA11-AS	ceRNA or sponge	HMGB2
LINC00461	ceRNA or sponge	ITGB3
TINCR	ceRNA or sponge	SNAI1
AOC4P	transcriptional regulation	MMP9
AOC4P	transcriptional regulation	COL1A2
CTBP1-DT	ceRNA or sponge	PTEN
SP1	transcriptional regulation	LMCD1-AS1
LMCD1-AS1	ceRNA or sponge	miR-106b-5p
SNHG7	ceRNA or sponge	CBX7
MIAT	ceRNA or sponge	miR-150-5p
OIP5-AS1	ceRNA or sponge	ANO1
LINC00886	epigenetic regulation	VEGFA
LINC00886	epigenetic regulation	PIK3R2
LINC00886	epigenetic regulation	DAPK2
METTL14	epigenetic regulation	XIST
TUG1	ceRNA or sponge	RAB10
LOC646329	ceRNA or sponge	MIR29B1
DUXAP8	ceRNA or sponge	PDK2
NR2F1-AS1	ceRNA or sponge	SIK1
SNHG14	transcriptional regulation	EZH2
LINC01714	epigenetic regulation	FOXO3
CASC2	ceRNA or sponge	MUC6
MITF-SOX10	transcriptional regulation	DIRC3
SNHG7	transcriptional regulation	miR-34a
XIST	ceRNA or sponge	ADAM17
ZEB2-AS1	ceRNA or sponge	CRKL
RHPN1-AS1	ceRNA or sponge	IGF2BP2
LINC00857	ceRNA or sponge	SPAG5
TGFB1	interact with protein	lncRNA©\ATB
MALAT1	ceRNA or sponge	miR-200a
ZNF407-AS1	ceRNA or sponge	MUC1-C
HMMR-AS1	ceRNA or sponge	SIRT6
NBAT1	expression association	PTEN
MAGI1-IT1	ceRNA or sponge	ZEB1
MAGI1-IT1	ceRNA or sponge	ZEB2
DLX6-AS1	transcriptional regulation	miR-497-5p
LINC00707	ceRNA or sponge	miR-206
LINC00707	ceRNA or sponge	FMNL2
CYTOR	ceRNA or sponge	HOXA1
SNHG7	interact with protein	TP53
MIR100HG	expression association	miR-204-5p
TP73-AS1	interact with protein	CDKN1A
RP11-476D10.1	ceRNA or sponge	LRRK2
RP11-476D10.1	ceRNA or sponge	BCL2
RP11-476D10.1	ceRNA or sponge	BECN1
RP11-476D10.1	ceRNA or sponge	MAP1LC3B
RP11-476D10.1	ceRNA or sponge	BAX
PSTPIP1	expression association	TGFB1
MIF-AS1	ceRNA or sponge	HOXB8
MELTF-AS1	ceRNA or sponge	MYCBP
AGAP2-AS1	ceRNA or sponge	ANXA11
DLX6-AS1	interact with protein	NOTCH1
MIR155HG	ceRNA or sponge	SOX10
TGFB1	interact with protein	MIR155HG
PURPL	transcriptional regulation	TP53
RMRP	ceRNA or sponge	ANXA2
LINC01857	ceRNA or sponge	TRIM65
LINC00221	ceRNA or sponge	miR-519a
LINC00221	ceRNA or sponge	ZBTB5
TTN-AS1	interact with protein	PTEN
STAT1	transcriptional regulation	LINC00467
LINC00467	epigenetic regulation	DKK1
FOXD2-AS1	ceRNA or sponge	TERT
LINC00304	expression association	CCNA1
PKM	expression association	MEG3
HOTTIP	ceRNA or sponge	DDA1
SNHG1	interact with protein	TP53
SNHG1	ceRNA or sponge	DNMT1
CCAT1	ceRNA or sponge	c-MET
ADAMTS9-AS2	ceRNA or sponge	EZH2
CASC11	expression association	TGFB1
CERNA2	transcriptional regulation	let-7b
PEG10	ceRNA or sponge	miR-134
PEG10	ceRNA or sponge	LRP6
SNHG15	ceRNA or sponge	miR-338-3p
SNHG15	ceRNA or sponge	FOS
SNHG15	ceRNA or sponge	RAB14
MIR2052HG	epigenetic regulation	LMTK3
p50	interact with protein	MALAT1
TP53	interact with protein	MALAT1
LINC00612	ceRNA or sponge	PHF14
PCAT6	ceRNA or sponge	miR-204
LINC01048	interact with protein	YAP1
USF1	transcriptional regulation	LINC01048
CCAT2	epigenetic regulation	NDRG1
PSTPIP1	expression association	miR-188-5p
CASC11	expression association	miRNA-150
HAND2-AS1	ceRNA or sponge	MIR1275
LINC00673	interact with protein	TP53
LINC00673	expression association	EZH2
LINC00673	expression association	DNMT1
CASC11	expression association	miR-188-5p
ZFAS1	transcriptional regulation	miR-150-5p
ZFAS1	ceRNA or sponge	RAB9A
FOXD2-AS1	ceRNA or sponge	HMGA2
SBF2-AS1	ceRNA or sponge	miR-361-5p
SBF2-AS1	ceRNA or sponge	FOXM1
MEG3	ceRNA or sponge	PHLPP2
MEG3	interact with protein	MYC
RP5-916L7.2	ceRNA or sponge	MIR328
RP5-916L7.2	ceRNA or sponge	MIR939
HAGLR	ceRNA or sponge	PIK3R3
miR-140-3p	ceRNA or sponge	TRPM2-AS
TRPM2-AS	ceRNA or sponge	PYCR1
PVT1	ceRNA or sponge	ATG3
LINC00336	ceRNA or sponge	CBS
ELAVL1	transcriptional regulation	LINC00336
EGFR-AS1	interact with protein	EGFR
ZFAS1	ceRNA or sponge	EZH2
PCGEM1	expression association	SNAI1
AGAP2-AS1	ceRNA or sponge	HDGF
PVT1	ceRNA or sponge	c-MET
DANCR	interact with protein	CCND1
DANCR	interact with protein	IL11
DANCR	interact with protein	PLAU
DANCR	expression association	MMP9
TP73-AS1	ceRNA or sponge	BDH2
LINC01857	interact with protein	CREB1
